comentario_p1,previsao,probabilidade_de_acerto
eu nao me operei!!,QUEIXA,97.45%
"a paciente chegou atraves do samu, inconsciente, com suspeita de hiponatremia, houve demora no primeiro atendimento, a paciente teve que ser removida para uma maca do hospital, tambem houve demora. quando enfim foi conseguido a maca, os proprios familiares tiveram que empurrar a mesma e ao mesmo tempo segurar a paciente para nao cair. quando enfim o medico acionou no painel, foi informado sobre o quadro e o pre diagnostico feito pela equipe do samu, com base nos exames da noite anterior. o medico informou que o atendimento teria que ser em consultorio, que ele nao poderia se deslocar ate o corredor onde estava a maca com a paciente. dito isto houve um transtorno para guiar a maca ate o consultorio",QUEIXA,97.98%
medio,OUTROS,85.24%
motivo de necessidade,QUEIXA,92.2%
"chegamos pela emergencia e os enfermeiros da emergencia, tudo sem paciencia para atender",QUEIXA,96.12%
"nao tinha internet para me colocar na fila de espera, tive de aguardar por 1 hora para o sistema voltar e agendar uma consulta de emergencia para mim",QUEIXA,98.14%
"ps com hiperlotacao, demora no atendimento emergencial, funcionarios sob pressao e aobrecarregados sobrecarregados de trabalho., enfim tudo contribuiu para uma pessima estadia e em consequencia infeccao urinaria com alta e retorno dia seguinte e em sequencia obito....",QUEIXA,96.43%
"atendimento lento para uma pessoa de 105anos. a gente e leigo quanto a gravidade da paciente . e chegando no hospital. eles querem tirar fotos da paciente em estado ruim . nao tem comunicacao da situacao, a gente fica em espera por oras ... bom por ai vai",QUEIXA,97.22%
"ao chegar ao hospital, fui informada de que meu acompanhante nao poderia ficar comigo ate eu ser direcionada a cirurgia. tive que ligar no sac para que me fosse garantido meu direito por lei de ter um acompanhante!",QUEIXA,98.06%
nao tenho interesse,OUTROS,82.79%
digitei errado,ELOGIO,91.6%
meu pai veio a obito,OUTROS,89.13%
desculpa,ELOGIO,97.65%
desculpa foi errado,ELOGIO,99.44%
"falta de informacao e ou senha para aguardar atendimento, demora ao atender esperando mais de 1 hora para atendimento na recepcao",QUEIXA,98.23%
desculpa 5,ELOGIO,97.65%
tempo de espera absurdo apesar de meu internamento ja estar marcado.,QUEIXA,97.51%
"precisei de um ortopedista me mandaram para um. clinico , tive que pagar o exame em outro hospital",QUEIXA,97.32%
sobre os maqueiros muitas vezes demora a chegar,QUEIXA,97.17%
"demora, falta de informacoes e falta de receptividade na chegada",QUEIXA,98.09%
fui bem acolhida,ELOGIO,98.15%
"atendente meio grosso, sem paciencia",QUEIXA,93.08%
"atendimento extremamente demorado, hospital lotado, maqueiro nao teve cuidado algum",QUEIXA,94.11%
nao fiz cirurgia e nem fiquei internado,QUEIXA,97.23%
"na recepcao disseram que nao tinha nada autorizado pelo convenio e nao queriam atender, o que ja havia sido confirmado por zap e telefone, minha mae idosa com preparo e moramos em ribeirao pires muito longe",QUEIXA,97.95%
imprimi a consulta e o medico nao estava atendendo na data agendada,QUEIXA,97.35%
demora no atendimento,QUEIXA,97.91%
desculpe e 5,ELOGIO,91.67%
desculpe errei 1,ELOGIO,91.67%
oie a lene modas fica feliz com o seu contato 1f603 como podemos ajudar?,OUTROS,88.61%
5coloquei errado,ELOGIO,91.6%
desculpa,ELOGIO,97.65%
desculpe,ELOGIO,91.67%
demora,QUEIXA,98.06%
me negaram internacao estando com pielonefrite,QUEIXA,94.95%
"fui informada que nao tinha maqueiro, quem fez o servico do maqueiro foi uma pessoa de outra funcao..",QUEIXA,97.44%
"foi boa, entendi errado os numeros",ELOGIO,95.24%
fui transferida de uma internacao de um hospital para la.. e chegando la nao tinha lugar pra mim ficar,QUEIXA,98.03%
nao tenho interesse,OUTROS,82.79%
atendimento lento e debochado!,OUTROS,81.75%
ops 5,OUTROS,85.24%
"demora no atendimento, uma vez q tenho prioridade pela idade e enfermidade",QUEIXA,92.84%
errei,OUTROS,85.24%
os atendentes estavam fazendo outra atividade,QUEIXA,93.03%
marcam o procedimento pra um horario e aguardamos quase 3h pra ser atendido.,QUEIXA,97.7%
bastante demorado,OUTROS,88.24%
nota errada,OUTROS,54.07%
"complicado para idoso, tem que ser linguagem facil e letras maiores, nao temos muito conhecimento em computadores.",QUEIXA,97.57%
demorada,OUTROS,85.24%
nao tinham liberado a senha ainda,OUTROS,83.79%
nao tenho interesse,OUTROS,82.79%
nao sao atenciosos,ELOGIO,96.28%
"desculpa, digitei errado, na verdade estou muito satisfeito, numero 5. nao teve estrutura, nao havia leito, fiquei na sala de observacao ate a alta, o acompanhante dormiu no corredor do hospital",QUEIXA,92.59%
chatossssssss,OUTROS,85.24%
demora na espera,QUEIXA,98.12%
eu to satisfeito errei era 2 pra botar,OUTROS,69.34%
nao tenho interesse,OUTROS,82.79%
nao tenho interesse,OUTROS,82.79%
nao errei e 5,QUEIXA,97.42%
muito desorganizado a fila muito gente,OUTROS,77.42%
nao tenho interesse,OUTROS,82.79%
digitei errado o numero,ELOGIO,91.6%
as vezes os funcionarios da entrada sao meio mau educados,OUTROS,84.98%
procedimentos demorado e locais sujos,QUEIXA,92.06%
"fiquei esperando demais no srpa, nao me davam informacoes, descaso total",QUEIXA,96.99%
"cheguei, passei muito tempo para receber informacao dos procedimentos necessarios para cirurgia.",QUEIXA,97.27%
"estou muito satisfeito ,fui muito bem atendida pelo hospital",ELOGIO,96.88%
errei a opcao,OUTROS,85.24%
5 desculpe,ELOGIO,91.67%
cheguei sem conseguir andar de dor e demoraram pra me medicar,QUEIXA,97.69%
retificando opcao correta e a 1,OUTROS,50.26%
bom dia,OUTROS,67.39%
algumas recepcionista nao atendem muito bem,OUTROS,68.87%
"eu tinha uma consulta para segunda feira, oftalmologista depois de trinta dias cancelaram a minha consulta! nao previsao!!!!! obrigado. no hospital foi tudo bem! eu tinha uma consulta para segunda feira, oftalmologista depois de trinta dias cancelaram a minha consulta! nao previsao!!!!! obrigado. no hospital foi tudo bem! eu fui marcar uma consulta e marcaram para 30 dias posterior!",QUEIXA,96.27%
nao tinha recepcionista no dia e porteiro estava tentando realizar o seu papel o de portaria e recepcao,QUEIXA,94.1%
desculpa,ELOGIO,97.65%
comecar pela recepcao ate ser atendinda,QUEIXA,92.88%
"na recepcao, demora demais",QUEIXA,97.71%
hospital lotado nao tinha cadeira de rodas demorou 5 horas pra chegar na observacao um paciente oncologico,QUEIXA,98.23%
demora no atendimento e falta de clareza nas informacoes.,QUEIXA,97.92%
a triagem demorou muito,QUEIXA,94.49%
46.474.824 0001 02,OUTROS,52.52%
"equipe de internacao atrapalhada, nao sabiam passar informacoes.",QUEIXA,96.89%
problemas com impressao digital,OUTROS,89.02%
demorou de mais pra me subir internacao,QUEIXA,98.17%
a demora para incluir os dependentes,QUEIXA,98.03%
"tive um parto cesareo e simplesmente nao havia apartamento ou quarto de enfermaria livre depois pra eu ficar, fiquei esperando mais de 9h pra liberarem e no meio dessas mais de 9h, ainda tivemos problemas com o enfermeiro chefe de plantao que nos atendeu super mal. foi uma experiencia traumatizante.",QUEIXA,98.15%
"foi transferido do ps de barueri aonde foi bem atendido, qd chegamos no hospital por volta da 04 30 da manha, o davi estava com dor o atendimento foi pessimo sabendo que era um quadro de apendicite nao colocaram ele na observacao em leito e sim ficou por 1h sentado e eu pedindo uma cama para ele deitar, a enfermeira se prontificou em liberar um leito de observacao e se eu n tivesse indo atras dela ia embora sem ter dado atencao devida,por troca de plantao, por isso a minha insatisfacao,",QUEIXA,97.89%
"cheguei no horario solicitado, e tive um pessimo atendimento na recepcao, tanto ao horario que atrasaram muito quanto a informacao que ninguem deu uma satisfacao da demora simplesmente deixou la esperando",QUEIXA,98.04%
foi errado,OUTROS,89.38%
recepcoes confusas,OUTROS,85.24%
"eu marquei a cirurgia pelo aplicativo, e fui no local para a cirurgia e nao tinha nada marcado para mim, porem tinha a senha e protocolo para a cirurgia, fiquei ate meia noite no hospital, depois fui para outro hospital de sao bernardo e mesmo assim nao quiseram fazer a cirurgia pois era de pequeno risco e nao podia ser feito ali, eu dormi no hospital de sao bernardo para nada, fui embora de la 13h da tarde, foi uma enrolacao danada, depois eu cansei e nao marquei mais nada nesse app por causa de ma gestao que nao sabe administrar quem vai fazer as cirurgias e aonde ... estou indignado.",QUEIXA,98.09%
desculpe errado,ELOGIO,98.88%
"nao tive problemas com a chegada, porem o horario marcado, tive que esperar aproximadamente 1h para ser atendido na recepcao.",QUEIXA,97.85%
prefiro nao fala,OUTROS,87.98%
tive dificuldade de encontrar o setor de internacao e nao tive ajuda satisfatoria para isso por parte dos funcionarios.,QUEIXA,97.32%
"a recepcao sempre esta muito cheia, e apenas uma pessoa atendendo a todos",QUEIXA,91.79%
corrigindo 5. estrutura nao tem estacionamento para chegada de pacientes,QUEIXA,96.62%
obtive alta com dores e sem ao menos descobrirem o que realmente eu tinha . pesquisem sobre tudo depois dessa internacao o que esta ocorrendo,QUEIXA,96.29%
opa correto e 5,OUTROS,67.58%
e uma administracao pessima.,QUEIXA,95.86%
quero giwui satisfeito,ELOGIO,97.8%
o totem nao funcionou,QUEIXA,97.25%
coloquei errado,ELOGIO,90.9%
descupe estou muito satisfeito,ELOGIO,90.39%
foi errado,OUTROS,89.38%
"a paciente relata que chegou ao hospital com a guia autorizada e na data agendada para a sua cesarea, mas esta nao constava no sistema e fez o procedimento como urgencia.",QUEIXA,94.43%
"atendimento demorado, todo momento alguem aparece pra colocar a digital, muitas vezes em momentos delicados e constrangedor",QUEIXA,96.25%
demora,QUEIXA,98.06%
errei,OUTROS,85.24%
3. pediram para chegar 8 30 mais foi feita cirurgia quase 12 horas. ela estava com muita fome porque estava em jejum,QUEIXA,98.14%
porque eu ja respondi esse questionario ja estou de saco cheio,QUEIXA,96.57%
minha esposa faleceu.,QUEIXA,91.99%
nao tenho interesse,OUTROS,82.79%
moroso os procedimentos. falta de compromisso com o doente,QUEIXA,96.46%
ops 4,OUTROS,85.24%
"nao tem ngm pra atender ou auxiliar apenas 1 atendente, demora demais",QUEIXA,97.97%
"nunca tem quarto disponivel, a gente fica com ela sofrendo ate de madrugada, para conseguir um quarto.",QUEIXA,97.97%
"me pediram para chegar as 4 horas da manha e foi me chamar as 7 horas da manha para subir, fora que a cirurgia foi feita errada, um procedimento mal feito",QUEIXA,98.18%
demora muito,QUEIXA,97.52%
demora e pouco informacao sobre o procedimento,QUEIXA,97.78%
demora,QUEIXA,98.06%
recepcionista todos no celular falta de respeito com o paciente,QUEIXA,94.42%
o totem nao estava pegando,QUEIXA,97.7%
totem nao estava funcionando adequadamente,QUEIXA,95.63%
"primeiro que nao houve idealizacao de cirurgia. segundo que o atendimento do pronto socorro e horrivel, precario e demorado. e terceiro os profissionais sao despreparados e negligentes.",QUEIXA,95.91%
"demora para descer do pos operatorio para o leito, porque nao tinha vaga.",QUEIXA,97.84%
ops 5,OUTROS,85.24%
"paciente estava com umero fraturado, sem imobilizacao, estava infartada, mesmo os medicos sendo avisados o tempo todo sobre a fratura e falta de imobilizacao, contrariando a instabilidade e a pressao instavel, com a ansia de gerar mais custos para o hospital, resolveram colocar ela em uma ambulancia, sem seguir os protocolos de transporte de fraturados, sem a devida imobilizacao, resolveram levar ela para outro municipio a 80km de distancia para fazer um exame que tinha disponivel a 800 metros em outro hospital, tudo pelo dinheiro, ambulancia, sem imobilizacao, 500 metros, uma buraco, um solavanco, meio grito, batimentos caindo rapidamente, batimentos 0. e assim volta para o hospital, pela contramao. e assim que mataram a mercedes mira sanchez. nesta referida internacao.",QUEIXA,98.23%
errei a resposta,OUTROS,74.45%
desculpa 5,ELOGIO,97.65%
muita demora,QUEIXA,98.08%
tenho que analisar o que eu uso no hospital.,QUEIXA,95.69%
"pouco treinamento, falta simpatia.",QUEIXA,97.6%
"esqueci meu tenis no hospital e quando fui buscar, me informaram que nao tinha nenhum tenis no quarto",QUEIXA,97.85%
"escrevi errado,foi muito bom o atendimento!",ELOGIO,98.34%
um otimo atendimento.,ELOGIO,99.06%
era 5,QUEIXA,95.69%
"a mae do paciente relata que a recepcao e seguranca do hospital deixou muito a desejar, pois nos dias em que ficou com seu filho internado ao sair e entrar no hospital raramente era abordada pela recepcao, o que a deixou em alerta pois qualquer pessoa poderia entrar.",QUEIXA,97.45%
ate hoje a biometria nao funciona e nao tem um sistema ou local pra corrigir isso..recadastrar,QUEIXA,97.53%
na chegada foi tudo bem,OUTROS,69.02%
a paciente relata falta de informacao e organizacao da recepcao pois nao souberam lhe dar as informacoes e o direcionamento correto.,QUEIXA,97.23%
demora para transferencia,QUEIXA,97.37%
pouco suporte para entrada.,QUEIXA,97.37%
demora pra ser atendida,QUEIXA,97.91%
"falta de atencao, e ma vontade de ajudar",QUEIXA,97.1%
"a nossa satisfacao, e o atendimento tanto na recepcao quanto na equipe medica 1f91d",OUTROS,81.73%
"recepcionista foi extremamente rude, desdenhando da paciente, dizendo que entre os colegas de trabalho nao vou fazer a internacao da idosa entubada hoje nao dessa forma, desrespeitando o momento fragil e os familiares.",QUEIXA,94.99%
"nao teve chegada. voces sequer chamaram, o procedimento foi realizado em outro hospital,",OUTROS,85.56%
"5, muito satisfeito, li errado!",ELOGIO,99.14%
muito satisfeito coloquei errado,ELOGIO,99.24%
a recepcionista muito mal educada,QUEIXA,96.07%
"muita demora para ser atendido, queda no sistema, demora exagerada para internacao de um dia na espera no ps, madrugada c 2 idosos na cadeira de espera, a ficha da internacao da minha mae que nao subiu por incompetencia da responsavel por levar as fichas ao setor correspondente de internacao",QUEIXA,98.29%
obito,OUTROS,85.24%
falecimento do paciente,QUEIXA,91.54%
muita demora no atendimento,QUEIXA,98.07%
"muita demora no atendimento. pedem para chegar com antecedencia, porem, atrasaram muito.",QUEIXA,97.86%
desculpe errei eo 4,ELOGIO,91.67%
foi errado,OUTROS,89.38%
nao vonsigo contato com ninguem estou pra ser internado nao consigo falar com ninguem,QUEIXA,97.81%
a paciente relata que as recepcionistas foram muito mal educadas e o totem nao estava funcionando,QUEIXA,96.91%
no momento da internacao nao pegaram numero de telefone p contato. com isso meus familiares nao foram avisados q eu estava no quarto. gracas a um enfermeiro q gentilmente procurou no google o numero do consultorio do meu filho e do celular dele ligou p meu filho. enquanto isso meu filho ficou o dia todo ligando p o hospital sem saber noticias minha.,QUEIXA,97.68%
fizeram a ficha de internacao no setor errado,OUTROS,85.02%
eu errei,QUEIXA,95.18%
emergencia e lerda pro atendimento mesmo sofrendo de dor,QUEIXA,97.52%
nao tenho interesse,OUTROS,82.79%
"esperei muito para ser internada, e nao tive meu bebe na data marcada, pouca assistencia medica",QUEIXA,97.09%
muita demora para ser atendido,QUEIXA,97.93%
errei a resposta 5 muito satisfeito,OUTROS,89.7%
"observacao, errei , 4 satisfeito",OUTROS,85.37%
nao tinha uma cadeira de rodas,QUEIXA,98.11%
nao ter leite para fazer a internacao da minha filha onde tivemos que fica esperando ater as 06 00 pra uma transferencia pro abc paulista onde moramos na zona norte de sao paulo,QUEIXA,98.01%
fiquei horas no ps antes de ser internada de fato,QUEIXA,96.99%
foi tudo certo da chegada a saida,OUTROS,65.76%
"cheguei as 4 30 da manha, como fui informada para chegar com 30 minutos de antecedencia, e que a entrada era somente pela portaria principal a mesma se encontrava fechada e assim permaneceu, nao tinha um cartaz informando para entrar por outro acesso e tinha movimentacao de seguranca que nos via do lado de fora, mas em momento algum nos informou.",QUEIXA,97.71%
atendimento,OUTROS,81.75%
recepcao desorganizada,QUEIXA,96.03%
nao tinha cadeira de rodas,QUEIXA,97.96%
desculpa era pra ter colocado o numero 5,OUTROS,84.08%
errei,OUTROS,85.24%
desculpa marquei erado e o numero 5,ELOGIO,97.65%
"passei mais de duas horas na recepcao ,de inicio minha internacao nao tava no sistema.",QUEIXA,97.94%
"a recepcionista n foi atenciosa, menos ainda o porteiro",OUTROS,81.04%
"nao tinha ninguem orientando no momento da chegada e nao tinha senha ou totem, estava bem cheio e nao tinha ninguem orientando.. fiquei em pe esperando a liberacao de algum guiche para pedir direcionamento. apos passar pela recepcao, aguardei em pe ate me chamarem para ir a sala pre parto.",QUEIXA,97.96%
"ai chegar foi pedido que chegasse as 11 00 e so foram abrir a ficha as 12 00. no momento inicial nos colocamos em uma sala sem maca com mesas para criancas, desconsiderando totalmente a perda do meu filho anteriormente no mesmo hospital....",QUEIXA,97.97%
"nao realizei cirurgia , e estao me informando que eu realizei. tive problemas e nao cheguei a realizar essa cirurgia",QUEIXA,97.76%
me enganei e 5,QUEIXA,94.81%
"fiz os procedimentos na recepcao , nao teve totem ...e na recepcao do 1 andar so de deram papel e informaram pra onde eu deveria seguir , nao teve explicacoes e confirmacao de que eu tinha acompanhante",QUEIXA,97.93%
muito demorado o atendimento e os funcionarios da recepcao nao passavam nenhuma informacao so mandavam esperar. e demorou 4h para conseguir fazer a internacao,QUEIXA,98.14%
errei a opcao,OUTROS,85.24%
percebi que alguns profissionais induzem voce a permanecer no processo de inducao.,OUTROS,84.13%
nao ha motivos,QUEIXA,92.53%
demora no atendimento e suporte,QUEIXA,97.54%
"um tempo de demora muito grande para ser atendido. estava internado, cheguei fazer dieta zero ,conheci o cirurgiao e foi cancelado o procedimento de operar a vesicula. fui liberado pela equipe medica e informado que teria que procurar um cirurgiao para fazer a operacao, tenho exames que indicam emergencia na operacao. nao entendo porque cancelaram a cirurgia. estou sofrendo com dores . nao houve transparencia no motivo de cancelar minha cirurgia de vesicula apos realizar dieta zero.",QUEIXA,97.83%
errei,OUTROS,85.24%
foi errado,OUTROS,89.38%
"a demora no primeiro atendimento e eu era a unica la por telefone foi tranquilo. porem como tiveram que remarcar e me internaram, me falaram que iria ser uma das primeiras a realizar a cirurgia, comecei o jejum a 00h e so fui para o parto as 18h, passei muito mal",QUEIXA,97.89%
kkkbhfudiit,OUTROS,85.24%
dentro do previsto,OUTROS,81.63%
nao tenho interesse,OUTROS,82.79%
nao teve realizacao de cirurgia nenhuma,QUEIXA,97.11%
"demorou quase 1 hora pra acharem meu nome no sistema, ate perceberem que meu convenio era de outro estado",QUEIXA,97.85%
coloquei errado. desculpa,ELOGIO,99.44%
muita dificuldade em encontrar acomodacao para pessoas acamada e cadeirante,QUEIXA,95.29%
perdao 5,OUTROS,85.24%
"oi uma doenca grave, e nao tive tanto acompanhamento, um psicologo. ou assistencia melhor",QUEIXA,92.47%
demora no atendimento da emergencia,QUEIXA,98.04%
"perdoa, respondi errado",ELOGIO,91.6%
demora,QUEIXA,98.06%
"educacao e cordialidade, faltou um pouco, acho que precisam ter mais empatia",QUEIXA,96.6%
"escrevi errado, era pra ser muito satisfeito",OUTROS,59.98%
muita demora pra subir para o quarto.,QUEIXA,98.27%
"tenho dificuldade em usar o totem, quanto os porteiros e recepcionistas sao muito bons e educados",OUTROS,77.53%
a demora e falta de acolhimento do hospital,QUEIXA,97.7%
demora no atendimento,QUEIXA,97.91%
"somente 1 pessoa na recepcao, o totem nao estava funcionando, me passaram o horario errado da cirurgia, cheguei com 3h de antecedencia, disseram que nao tinha como abrir o prontuario que a informacao estava errada. so ia abrir proximo ao horario da cirurgia. esperei 3h la fora, e quando fui pra ser atendida a enfermeira teve que ir la na recepcao comecar o atendimento porque minha ficha ainda nao estava aberta.",QUEIXA,98.13%
viemos da unidade de medicina avancada que fica em frente ao hospital.,QUEIXA,96.17%
"os exames que deveriam estar programados nao estavam na lista segundo a recepcionista. por pouco , nao perdi a viagem e os exames !",QUEIXA,96.33%
falta de orientacao,QUEIXA,96.81%
demora no atendimento,QUEIXA,97.91%
perdao e5,OUTROS,85.24%
nao tenho interesse,OUTROS,82.79%
"demora no atendimento, toten nao estava funcionando e fila enorme para poder colocar a digital. fora que nao tinha maqueiro para ajudar.",QUEIXA,97.78%
reavaliar,OUTROS,85.24%
um pouco de demora devida a demanda de paciente,QUEIXA,97.78%
"vim de transferencia da upa local da minha cidade, por ser uma tranferencia de uti a minha saida foi encaminhada pois ja avia um leito liberado, porem quando cheguei ao local esse leito nao existia, fiquei cerca de uns 40 minutos na maca em uma corredor na entrada da emergencia, depois fui deslocado a sala de espera da emergencia onde fiquei por certa de 3 horas ate liberacao do meu leito, o que foi realizado ainda apos de muita conversa da minha cojugue com setores responsalvel do hospital.",QUEIXA,98.25%
infelizmente ja estava muito cansada de ir ate o hospital pois so fizeram o procedimento quase dois meses depois,QUEIXA,96.8%
coloquei errado,ELOGIO,90.9%
fui bem atendida na recepcao,OUTROS,51.59%
perdao,OUTROS,85.24%
demora,QUEIXA,98.06%
"ao chegar em estado de emergencia ela ainda no carro com dificuldade para retirar ela e tambem por falta de cadeira de rodas, ainda queriam a impressao digital dela",QUEIXA,97.9%
"passei 33h em uma cadeira de rodas na urgencia, sem alimentacao nenhuma durante esse periodo, sendo que tenho insuficiencia renal e nao posso passar muito tempo sem me alimentar. porem depois que consegui o leito fui bem assistido pelos tecnicos e equipe medica. teve uma tecnica de enfermagem em especifico que me tratou muito mal, inclusive minha pressao ficou altissima no momento. no mais e isso !",QUEIXA,97.93%
rapidez no atendimento e agilidade,OUTROS,51.74%
"eu estava com muito contracao, e o atendimento estava um pouco lento",QUEIXA,97.73%
nao se aplica o uso so totem.,QUEIXA,97.19%
vcs deixou deixou minha neta maite morrer por falta de cuidado,QUEIXA,94.73%
foi errado,OUTROS,89.38%
recepcao sem informacao,QUEIXA,97.62%
"totem nao estava funcionando, eu passando muito mal, tive que me dirigir ao guiche, pois a atendente nao foi ate minha poltrona.",QUEIXA,98.08%
algumas recebi sionista mal educada,OUTROS,88.71%
desculpa apertei errado,ELOGIO,99.55%
"meu esposo esta internado, problema oncologico, nao tivemos assistencia de um psicologo, mas foi cobrado valores indevidos. primeiro, financeiro nao confere calor nao consigo alguem para tirar duvidas,",QUEIXA,95.18%
errei,OUTROS,85.24%
"toda cirurgia gera uma tensao muito grande ao paciente, principalmente oncologico que sofre de dores constantes, cheguei no horario combinado em jejum e so fui para o centro cirurgico quase 6h depois.",QUEIXA,97.77%
na verdade e muito satisfeito,OUTROS,83.16%
fui mal atendida.,OUTROS,83.38%
720250917wamid.hbgnntuxmtk2nti4nzkznrucabiyiefdneu1nzazqjq0otixqta2mtk2oeu3meuxrjleotndaa.ogg,OUTROS,85.24%
nao fiz cirurgia neste hospital.,QUEIXA,93.14%
nao tinha ninguem pra auxiliar,QUEIXA,97.96%
ninguem para ajudar e demora no atendimento,QUEIXA,98.01%
foi engano. na verdade 5,OUTROS,86.03%
muita demora.,QUEIXA,98.08%
um pouco demorado a espera no atendimento,QUEIXA,97.93%
o convenio hapvida hoje esta pessimo no atentimento na recepcao nna higiene,QUEIXA,96.81%
infelizmente a demora para nos avisar para onde tinha que ir,QUEIXA,98.07%
dificuldade em se registrar no totem,QUEIXA,97.49%
pediram para comparecer as 5 e meia da manha.fui para o centro cirurgico por volta das 14 hs.,QUEIXA,96.88%
foi muito bem atendida,ELOGIO,97.82%
todos prestativos.,ELOGIO,99.65%
muita desorganizacao,QUEIXA,96.55%
marca uma cirurgia para um criancas 8 00 h da manha e ela so ser atendida 16 00h da tarde! e um absurdo.,QUEIXA,97.59%
marca uma cirurgia para um criancas 8 00 h da manha e ela so ser atendida 16 00h da tarde! e um absurdo.,QUEIXA,97.59%
"5. o hospital entra em contato e so informa os procedimentos 24h antes. eu entrei em contato por whatsapp com o hospital e nem me responderem . o contato nao e humanizado. outra coisa quando me deram alta a informacao que eu tinha no papel de alta era que eu deveria retornar com a equipe da cirurgia para o pos operatorio. mas nao deixaram nada agendado, na minha opiniao se eu deveria retornar o correto era ja ficar agendado. eu entrei em contato por whatsapp do hospital bosque da saude nao existe telefone de contato com o hospital , perguntando como eu marcaria essa consulta de pos operatorio, nao me retornaram. acredito que deveria existir uma orientacao para o paciente neste sentido. liguei na central e tambem nao sabiam me informar. me marcaram para o cirurgiao que solicitou a cirurgia, ai deu certo. ai eu fico pensando porque deixar o paciente no vacuo no whatsapp, sem responder uma simples pergunta no pos operatorio, o hospital nao tem um canal para o pos cirurgia, para tirar duvidas",QUEIXA,97.94%
demora no atendimento,QUEIXA,97.91%
a questao da utilizacao dos totens na questao da biometria.,QUEIXA,92.74%
"so elogiar tudo e todos da recepcao, pessoal da limpeza enfermeiros medicos, todos os plantoes pelo tempo que fiquei la parto maravilhoso fui muito bem acolhida estao de parabens",ELOGIO,93.42%
"em relacao a minha internacao, apos eu estar dentro realmente do hospital, nao tenho ao que reclamar, mas antes disso, o tempo de espera pelo plano, a negligencia e falta de cuidado, e absurdo!!! pois fui internada, derrepente, por conta de tromboflebite, nao consegui ir a minha casa nem buscar meus pertencesses... fiquei mais de 6 horas esperando a ambulancia para a transferencia entre hospitais, sem assistencia, sem medicacao para dor, sem agua, sem nada! nao me perguntaram se eu estava bem, sim foi um trauma e o pior dia da minha vida!!!! sorte voces tem de no dia minha dor esta tanta e eu estar tao mal, com a ?agilidade? do convenio na internacao, que nao consegui finalizar minha reclamacao na ans, mas obrigada por enviar esse lembrete, que mesmo depois desses dias, irei atras da reclamacao, tal qual nao estao me dando o auxilio para tratar o meu problema, que precisei ser internada! pois enviei uma solicitacao de drenagem linfatica por cirurgica , por conta de uma cirurgia reparadora da coxa pos bariatrica, com problemas de saude a tromboflebite e mesmo assim foi negado! puro descasos com os pacientes! essa internacao foi o maior trauma que eu tive! horrivel!",QUEIXA,98.27%
"na minha chegada mesmo eu imobilizada na maca da emergencia nao pude ir para o cti devido a reconhecimento de digital, sendo que meu caso era grave e delicado onde a minha vida estava em risco",QUEIXA,98.14%
maqueiro passou com a maca em cima dos meus pes,QUEIXA,90.27%
fiquei no ps. das 10 as 20 horas com a internacao na mao so subir ao quarto as 20 horas depois de muito reclamar,QUEIXA,97.96%
"a principio uma bagunca pra realizar a cirurgia, nos mandaram pra casa, sem realizar a cirurgia e so marcaram a cirurgia por que ficamos insistindo e ligando para o hospital ate eu conseguir falar com um grupo de cirurgioes que eles que marcaram a cirurugia",QUEIXA,98.17%
nao fiz a cir,OUTROS,87.78%
desculpa eu quis dizer satisfeito,ELOGIO,98.8%
estava sentindo muita dor e fui mal atendida na recepcao esperei muito tempo para voltar a sala do medico,QUEIXA,97.61%
falar com atendente,QUEIXA,93.97%
"digo, nota 5 muito satisfeito!",ELOGIO,96.77%
nao tenho interesse,OUTROS,82.79%
e 5 pensei que 1 era muito satisfeito,OUTROS,52.94%
"minha estava tendo um avc, a recepcionista foi maravilhosa, so que na hora de transportar a mae, nao tinha o porteiro, nem maqueiro. eu que peguei a cadeira de rodas para poder locomove la. a digital dela no totem nao funcionava.",QUEIXA,98.21%
a insatisfacao e por nao medico geriatra,QUEIXA,95.05%
nao tenho interesse,OUTROS,82.79%
"fui atendido inicialmente no hospital sepaco e depois transferido para o hospital bosque da saude... quando la cheguei, fiquei mais de 3 horas aguardando, sentado em uma cadeira de plastico na recepcao, para que fosse disponibilizado um leito",QUEIXA,98.22%
a recepcao informou que nao havia nada no sistema. aguardei um bom tempo ate outra recepcionista ser gentil e verificar a cirurgia agendada,QUEIXA,97.04%
desculpa 4,ELOGIO,97.65%
"nada a declarar, eles fizeram o trabalho deles bem",OUTROS,52.41%
coloquei errado. muito satisfeito com o atendimento e recepcao,ELOGIO,94.08%
esperei durante duas semanas ate um medico ser contratado,QUEIXA,94.22%
a entrada p a e a mesma da urgencia e para ir ao local de atendimento passamos tbm por varios pacientes adoentado que esperavam por atendimento. fiquei com medo de pegar alguma doenca pouco antes de iniciar uma cirurgia.,QUEIXA,97.51%
"demora demais pra ir pra sala de espera pra ir pra sala de cirurgia nem uma cadeira de rodas tinha nao deram, refeicoes a acompanha da crianca sendo que eu fiquei o dia todo la, muitooooo frio a sala do pos operatorio e muito chato essa coisa de toda hora coloca a digital a crianca dormindo da cirurgia e toda hora tinha q ta pegando a digital",QUEIXA,98.21%
a demora !,QUEIXA,98.06%
nao tenho interesse,OUTROS,82.79%
em caso de emergencia para prioridade estava exigindo febre alta,QUEIXA,97.71%
nao tenho interesse,OUTROS,82.79%
radioterapia,OUTROS,85.24%
